Start_Lat,End_Lng,elapsed_time,day_of_week,hour_of_day,time_period,Temperature(C),Humidity(%),Pressure(atm),Visibility(km),Wind_Direction,Wind_Speed(kmph),Weather_Condition,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Severity
38.57852000000001,-90.44839,360.0,3,6,morning,18.277777777777786,87.0,1.0069446,9.65604,W,9.334172,cloudy,1.0,1.0,0.0,0.0,2
38.6385,-90.44447,360.0,4,17,afternoon,18.88888888888889,45.0,1.0156338,16.0934,NE,13.035654,clear,0.0,0.0,0.0,0.0,3
38.59802,-90.45076,360.0,4,19,evening,13.88888888888889,64.0,1.0156338,16.0934,E,9.334172,clear,1.0,1.0,1.0,1.0,2
38.596529,-90.45076,367.0,4,19,evening,13.88888888888889,64.0,1.0156338,16.0934,E,9.334172,clear,1.0,1.0,1.0,1.0,2
38.63862,-90.456015,360.0,0,17,afternoon,18.88888888888889,52.0,1.0102866,16.0934,SE,11.104446,cloudy,1.0,0.0,0.0,0.0,2
38.6345,-90.44905,360.0,1,17,afternoon,15.0,81.0,1.010955,16.0934,WNW,5.63269,cloudy,1.0,1.0,0.0,0.0,3
38.59802,-90.45076,360.0,2,6,morning,6.722222222222223,76.0,1.0149654,16.0934,N,9.334172,clear,0.0,0.0,0.0,0.0,2
38.63809000000001,-90.443036,360.0,2,15,afternoon,16.11111111111111,41.0,1.0136286,16.0934,WNW,11.104446,cloudy,0.0,0.0,0.0,0.0,2
38.67705,-90.44912,360.0,3,8,morning,10.61111111111111,63.0,1.0132944,16.0934,WSW,11.104446,clear,0.0,0.0,0.0,0.0,2
38.69733,-90.4455,360.0,4,8,morning,12.22222222222222,62.0,1.0099524,16.0934,N,13.035654,cloudy,0.0,0.0,0.0,0.0,3
38.6385,-90.44447,360.0,4,13,afternoon,16.72222222222222,43.0,1.0106208,16.0934,N,16.737136,cloudy,0.0,0.0,0.0,0.0,2
38.70238,-90.46065,360.0,0,19,evening,15.61111111111111,62.0,1.0002605999999998,16.0934,NW,9.334172,cloudy,1.0,1.0,1.0,1.0,4
38.60996,-90.45012,360.0,1,18,evening,13.88888888888889,55.0,1.000929,16.0934,SW,5.63269,cloudy,1.0,1.0,1.0,0.0,2
38.70238,-90.45066,360.0,2,7,morning,8.277777777777779,77.0,1.0022658,16.0934,VAR,9.334172,clear,0.0,0.0,0.0,0.0,2
38.67705,-90.44912,360.0,3,7,morning,16.11111111111111,62.0,0.9979212,16.0934,S,18.50741,cloudy,0.0,0.0,0.0,0.0,3
38.596499,-90.45076,360.0,3,9,morning,21.11111111111111,49.0,0.997587,16.0934,S,16.737136,cloudy,0.0,0.0,0.0,0.0,2
38.60996,-90.45012,360.0,3,16,afternoon,25.611111111111107,24.0,0.9945792,16.0934,S,16.737136,cloudy,0.0,0.0,0.0,0.0,2
